icd_code,category,subcategory,description
091,Infectious And Parasitic Diseases,Syphilis And Other Venereal Diseases,"Early Syphilis, Symptomatic"
092,Infectious And Parasitic Diseases,Syphilis And Other Venereal Diseases,"Early Syphilis, Latent"
093,Infectious And Parasitic Diseases,Syphilis And Other Venereal Diseases,Cardiovascular Syphilis
094,Infectious And Parasitic Diseases,Syphilis And Other Venereal Diseases,Neurosyphilis
095,Infectious And Parasitic Diseases,Syphilis And Other Venereal Diseases,"Other Forms Of Late Syphilis, With Symptoms"
096,Infectious And Parasitic Diseases,Syphilis And Other Venereal Diseases,"Late Syphilis, Latent"
097,Infectious And Parasitic Diseases,Syphilis And Other Venereal Diseases,Other And Unspecified Syphilis
098,Infectious And Parasitic Diseases,Syphilis And Other Venereal Diseases,Gonococcal Infections
099,Infectious And Parasitic Diseases,Syphilis And Other Venereal Diseases,Other Venereal Diseases
100,Infectious And Parasitic Diseases,Other	Spirochetal Diseases,Leptospirosis
101,Infectious And Parasitic Diseases,Other	Spirochetal Diseases,Vincent'S Angina
102,Infectious And Parasitic Diseases,Other	Spirochetal Diseases,Yaws
103,Infectious And Parasitic Diseases,Other	Spirochetal Diseases,Pinta
104,Infectious And Parasitic Diseases,Other	Spirochetal Diseases,Other Spirochetal Infection
110,Infectious And Parasitic Diseases,Mycoses,Dermatophytosis
111,Infectious And Parasitic Diseases,Mycoses,"Dermatomycosis, Other And Unspecified"
112,Infectious And Parasitic Diseases,Mycoses,Candidiasis
114,Infectious And Parasitic Diseases,Mycoses,Coccidioidomycosis
115,Infectious And Parasitic Diseases,Mycoses,Histoplasmosis
116,Infectious And Parasitic Diseases,Mycoses,Blastomycotic Infection
117,Infectious And Parasitic Diseases,Mycoses,Other Mycoses
118,Infectious And Parasitic Diseases,Mycoses,Opportunistic Mycoses
120,Infectious And Parasitic Diseases,Helminthiases,Schistosomiasis [Bilharziasis]
121,Infectious And Parasitic Diseases,Helminthiases,Other Trematode Infections
122,Infectious And Parasitic Diseases,Helminthiases,Echinococcosis
123,Infectious And Parasitic Diseases,Helminthiases,Other Cestode Infection
124,Infectious And Parasitic Diseases,Helminthiases,Trichinosis
125,Infectious And Parasitic Diseases,Helminthiases,Filarial Infection And Dracontiasis
126,Infectious And Parasitic Diseases,Helminthiases,Ancylostomiasis And Necatoriasis
127,Infectious And Parasitic Diseases,Helminthiases,Other Intestinal Helminthiases
128,Infectious And Parasitic Diseases,Helminthiases,Other And Unspecified Helminthiases
129,Infectious And Parasitic Diseases,Helminthiases,"Intestinal Parasitism, Unspecified"
130,Infectious And Parasitic Diseases,Other Infectious And Parasitic Diseases,Toxoplasmosis
131,Infectious And Parasitic Diseases,Other Infectious And Parasitic Diseases,Trichomoniasis
132,Infectious And Parasitic Diseases,Other Infectious And Parasitic Diseases,Pediculosis And Phthirus Infestation
133,Infectious And Parasitic Diseases,Other Infectious And Parasitic Diseases,Acariasis
134,Infectious And Parasitic Diseases,Other Infectious And Parasitic Diseases,Other Infestation
135,Infectious And Parasitic Diseases,Other Infectious And Parasitic Diseases,Sarcoidosis
136,Infectious And Parasitic Diseases,Other Infectious And Parasitic Diseases,Other And Unspecified Infectious And Parasitic Diseases
137,Infectious And Parasitic Diseases,Late Effects Of Infectious And Parasitic Diseases,Late Effects Of Tuberculosis
138,Infectious And Parasitic Diseases,Late Effects Of Infectious And Parasitic Diseases,Late Effects Of Acute Poliomyelitis
139,Infectious And Parasitic Diseases,Late Effects Of Infectious And Parasitic Diseases,Late Effects Of Other Infectious And Parasitic Diseases
140,Neoplasms,"Malignant Neoplasm Of Lip, Oral Cavity, And Pharynx",Malignant Neoplasm Of Lip
141,Neoplasms,"Malignant Neoplasm Of Lip, Oral Cavity, And Pharynx",Malignant Neoplasm Of Tongue
142,Neoplasms,"Malignant Neoplasm Of Lip, Oral Cavity, And Pharynx",Malignant Neoplasm Of Major Salivary Glands
143,Neoplasms,"Malignant Neoplasm Of Lip, Oral Cavity, And Pharynx",Malignant Neoplasm Of Gum
144,Neoplasms,"Malignant Neoplasm Of Lip, Oral Cavity, And Pharynx",Malignant Neoplasm Of Floor Of Mouth
145,Neoplasms,"Malignant Neoplasm Of Lip, Oral Cavity, And Pharynx",Malignant Neoplasm Of Other And Unspecified Parts Of Mouth
146,Neoplasms,"Malignant Neoplasm Of Lip, Oral Cavity, And Pharynx",Malignant Neoplasm Of Oropharynx
147,Neoplasms,"Malignant Neoplasm Of Lip, Oral Cavity, And Pharynx",Malignant Neoplasm Of Nasopharynx
148,Neoplasms,"Malignant Neoplasm Of Lip, Oral Cavity, And Pharynx",Malignant Neoplasm Of Hypopharynx
149,Neoplasms,"Malignant Neoplasm Of Lip, Oral Cavity, And Pharynx","Malignant Neoplasm Of Other And Ill-Defined Sites Within The Lip, Oral Cavity, And Pharynx"
150,Neoplasms,Malignant Neoplasm Of Digestive Organs And Peritoneum,Malignant Neoplasm Of Esophagus
151,Neoplasms,Malignant Neoplasm Of Digestive Organs And Peritoneum,Malignant Neoplasm Of Stomach
152,Neoplasms,Malignant Neoplasm Of Digestive Organs And Peritoneum,"Malignant Neoplasm Of Small Intestine, Including Duodenum"
153,Neoplasms,Malignant Neoplasm Of Digestive Organs And Peritoneum,Malignant Neoplasm Of Colon
154,Neoplasms,Malignant Neoplasm Of Digestive Organs And Peritoneum,"Malignant Neoplasm Of Rectum, Rectosigmoid Junction, And Anus"
155,Neoplasms,Malignant Neoplasm Of Digestive Organs And Peritoneum,Malignant Neoplasm Of Liver And Intrahepatic Bile Ducts
156,Neoplasms,Malignant Neoplasm Of Digestive Organs And Peritoneum,Malignant Neoplasm Of Gallbladder And Extrahepatic Bile Ducts
157,Neoplasms,Malignant Neoplasm Of Digestive Organs And Peritoneum,Malignant Neoplasm Of Pancreas
158,Neoplasms,Malignant Neoplasm Of Digestive Organs And Peritoneum,Malignant Neoplasm Of Retroperitoneum And Peritoneum
159,Neoplasms,Malignant Neoplasm Of Digestive Organs And Peritoneum,Malignant Neoplasm Of Other And Ill-Defined Sites Within The Digestive Organs And Peritoneum
160,Neoplasms,Malignant Neoplasm Of Respiratory And Intrathoracic Organs,"Malignant Neoplasm Of Nasal Cavities, Middle Ear, And Accessory Sinuses"
161,Neoplasms,Malignant Neoplasm Of Respiratory And Intrathoracic Organs,Malignant Neoplasm Of Larynx
162,Neoplasms,Malignant Neoplasm Of Respiratory And Intrathoracic Organs,"Malignant Neoplasm Of Trachea, Bronchus, And Lung"
163,Neoplasms,Malignant Neoplasm Of Respiratory And Intrathoracic Organs,Malignant Neoplasm Of Pleura
164,Neoplasms,Malignant Neoplasm Of Respiratory And Intrathoracic Organs,"Malignant Neoplasm Of Thymus, Heart, And Mediastinum"
165,Neoplasms,Malignant Neoplasm Of Respiratory And Intrathoracic Organs,Malignant Neoplasm Of Other And Ill-Defined Sites Within The Respiratory System And Intrathoracic Organs
170,Neoplasms,"Malignant Neoplasm Of Bone, Connective Tissue, Skin, And Breast",Malignant Neoplasm Of Bone And Articular Cartilage
171,Neoplasms,"Malignant Neoplasm Of Bone, Connective Tissue, Skin, And Breast",Malignant Neoplasm Of Connective And Other Soft Tissue
172,Neoplasms,"Malignant Neoplasm Of Bone, Connective Tissue, Skin, And Breast",Malignant Melanoma Of Skin
173,Neoplasms,"Malignant Neoplasm Of Bone, Connective Tissue, Skin, And Breast",Other Malignant Neoplasm Of Skin
174,Neoplasms,"Malignant Neoplasm Of Bone, Connective Tissue, Skin, And Breast",Malignant Neoplasm Of Female Breast
175,Neoplasms,"Malignant Neoplasm Of Bone, Connective Tissue, Skin, And Breast",Malignant Neoplasm Of Male Breast
176,Neoplasms,"Malignant Neoplasm Of Bone, Connective Tissue, Skin, And Breast",Kaposi'S Sarcoma
179,Neoplasms,Malignant Neoplasm Of Genitourinary Organs,"Malignant Neoplasm Of Uterus, Part Unspecified"
180,Neoplasms,Malignant Neoplasm Of Genitourinary Organs,Malignant Neoplasm Of Cervix Uteri
181,Neoplasms,Malignant Neoplasm Of Genitourinary Organs,Malignant Neoplasm Of Placenta
182,Neoplasms,Malignant Neoplasm Of Genitourinary Organs,Malignant Neoplasm Of Body Of Uterus
183,Neoplasms,Malignant Neoplasm Of Genitourinary Organs,Malignant Neoplasm Of Ovary And Other Uterine Adnexa
184,Neoplasms,Malignant Neoplasm Of Genitourinary Organs,Malignant Neoplasm Of Other And Unspecified Female Genital Organs
185,Neoplasms,Malignant Neoplasm Of Genitourinary Organs,Malignant Neoplasm Of Prostate
186,Neoplasms,Malignant Neoplasm Of Genitourinary Organs,Malignant Neoplasm Of Testis
187,Neoplasms,Malignant Neoplasm Of Genitourinary Organs,Malignant Neoplasm Of Penis And Other Male Genital Organs
188,Neoplasms,Malignant Neoplasm Of Genitourinary Organs,Malignant Neoplasm Of Bladder
189,Neoplasms,Malignant Neoplasm Of Genitourinary Organs,Malignant Neoplasm Of Kidney And Other And Unspecified Urinary Organs
190,Neoplasms,Malignant Neoplasm Of Other And Unspecified Sites,Malignant Neoplasm Of Eye
191,Neoplasms,Malignant Neoplasm Of Other And Unspecified Sites,Malignant Neoplasm Of Brain
192,Neoplasms,Malignant Neoplasm Of Other And Unspecified Sites,Malignant Neoplasm Of Other And Unspecified Parts Of Nervous System
193,Neoplasms,Malignant Neoplasm Of Other And Unspecified Sites,Malignant Neoplasm Of Thyroid Gland
194,Neoplasms,Malignant Neoplasm Of Other And Unspecified Sites,Malignant Neoplasm Of Other Endocrine Glands And Related Structures
195,Neoplasms,Malignant Neoplasm Of Other And Unspecified Sites,Malignant Neoplasm Of Other And Ill-Defined Sites
196,Neoplasms,Malignant Neoplasm Of Other And Unspecified Sites,Secondary And Unspecified Malignant Neoplasm Of Lymph Nodes
197,Neoplasms,Malignant Neoplasm Of Other And Unspecified Sites,Secondary Malignant Neoplasm Of Respiratory And Digestive Systems
198,Neoplasms,Malignant Neoplasm Of Other And Unspecified Sites,Secondary Malignant Neoplasm Of Other Specified Sites
199,Neoplasms,Malignant Neoplasm Of Other And Unspecified Sites,Malignant Neoplasm Without Specification Of Site
200,Neoplasms,Malignant Neoplasm Of Lymphatic And Hematopoietic Tissue,Lymphosarcoma And Reticulosarcoma
201,Neoplasms,Malignant Neoplasm Of Lymphatic And Hematopoietic Tissue,Hodgkin'S Disease
202,Neoplasms,Malignant Neoplasm Of Lymphatic And Hematopoietic Tissue,Other Malignant Neoplasm Of Lymphoid And Histiocytic Tissue
203,Neoplasms,Malignant Neoplasm Of Lymphatic And Hematopoietic Tissue,Multiple Myeloma And Immunoproliferative Neoplasms
204,Neoplasms,Malignant Neoplasm Of Lymphatic And Hematopoietic Tissue,Lymphoid Leukemia
205,Neoplasms,Malignant Neoplasm Of Lymphatic And Hematopoietic Tissue,Myeloid Leukemia
206,Neoplasms,Malignant Neoplasm Of Lymphatic And Hematopoietic Tissue,Monocytic Leukemia
207,Neoplasms,Malignant Neoplasm Of Lymphatic And Hematopoietic Tissue,Other Specified Leukemia
208,Neoplasms,Malignant Neoplasm Of Lymphatic And Hematopoietic Tissue,Leukemia Of Unspecified Cell Type
209,Neoplasms,Malignant Neoplasm Of Lymphatic And Hematopoietic Tissue,Neuroendocrine Tumors
210,Neoplasms,Benign Neoplasms,"Benign Neoplasm Of Lip, Oral Cavity, And Pharynx"
211,Neoplasms,Benign Neoplasms,Benign Neoplasm Of Other Parts Of Digestive System
212,Neoplasms,Benign Neoplasms,Benign Neoplasm Of Respiratory And Intrathoracic Organs
213,Neoplasms,Benign Neoplasms,Benign Neoplasm Of Bone And Articular Cartilage
214,Neoplasms,Benign Neoplasms,Lipoma
215,Neoplasms,Benign Neoplasms,Other Benign Neoplasm Of Connective And Other Soft Tissue
216,Neoplasms,Benign Neoplasms,Benign Neoplasm Of Skin
217,Neoplasms,Benign Neoplasms,Benign Neoplasm Of Breast
218,Neoplasms,Benign Neoplasms,Uterine Leiomyoma
219,Neoplasms,Benign Neoplasms,Other Benign Neoplasm Of Uterus
220,Neoplasms,Benign Neoplasms,Benign Neoplasm Of Ovary
221,Neoplasms,Benign Neoplasms,Benign Neoplasm Of Other Female Genital Organs
222,Neoplasms,Benign Neoplasms,Benign Neoplasm Of Male Genital Organs
223,Neoplasms,Benign Neoplasms,Benign Neoplasm Of Kidney And Other Urinary Organs
224,Neoplasms,Benign Neoplasms,Benign Neoplasm Of Eye
225,Neoplasms,Benign Neoplasms,Benign Neoplasm Of Brain And Other Parts Of Nervous System
226,Neoplasms,Benign Neoplasms,Benign Neoplasm Of Thyroid Gland
227,Neoplasms,Benign Neoplasms,Benign Neoplasm Of Other Endocrine Glands And Related Structures
228,Neoplasms,Benign Neoplasms,"Hemangioma And Lymphangioma, Any Site"
229,Neoplasms,Benign Neoplasms,Benign Neoplasm Of Other And Unspecified Sites
230,Neoplasms,Carcinoma In Situ,Carcinoma In Situ Of Digestive Organs
231,Neoplasms,Carcinoma In Situ,Carcinoma In Situ Of Respiratory System
232,Neoplasms,Carcinoma In Situ,Carcinoma In Situ Of Skin
233,Neoplasms,Carcinoma In Situ,Carcinoma In Situ Of Breast And Genitourinary System
234,Neoplasms,Carcinoma In Situ,Carcinoma In Situ Of Other And Unspecified Sites
235,Neoplasms,Neoplasms Of Uncertain Behavior,Neoplasm Of Uncertain Behavior Of Digestive And Respiratory Systems
236,Neoplasms,Neoplasms Of Uncertain Behavior,Neoplasm Of Uncertain Behavior Of Genitourinary Organs
237,Neoplasms,Neoplasms Of Uncertain Behavior,Neoplasm Of Uncertain Behavior Of Endocrine Glands And Nervous System
238,Neoplasms,Neoplasms Of Uncertain Behavior,Neoplasm Of Uncertain Behavior Of Other And Unspecified Sites And Tissues
239,Neoplasms,Neoplasms Of Uncertain Behavior,Neoplasm Of Unspecified Nature
240,"Endocrine, Nutritional And Metabolic Diseases, And Immunity Disorders",Disorders Of Thyroid Gland,Simple And Unspecified Goiter
241,"Endocrine, Nutritional And Metabolic Diseases, And Immunity Disorders",Disorders Of Thyroid Gland,Nontoxic Nodular Goiter
242,"Endocrine, Nutritional And Metabolic Diseases, And Immunity Disorders",Disorders Of Thyroid Gland,Thyrotoxicosis With Or Without Goiter
243,"Endocrine, Nutritional And Metabolic Diseases, And Immunity Disorders",Disorders Of Thyroid Gland,Congenital Hypothyroidism
244,"Endocrine, Nutritional And Metabolic Diseases, And Immunity Disorders",Disorders Of Thyroid Gland,Acquired Hypothyroidism
245,"Endocrine, Nutritional And Metabolic Diseases, And Immunity Disorders",Disorders Of Thyroid Gland,Thyroiditis
246,"Endocrine, Nutritional And Metabolic Diseases, And Immunity Disorders",Disorders Of Thyroid Gland,Other Disorders Of Thyroid
249,"Endocrine, Nutritional And Metabolic Diseases, And Immunity Disorders",Diseases Of Other Endocrine Glands,Secondary Diabetes Mellitus
250,"Endocrine, Nutritional And Metabolic Diseases, And Immunity Disorders",Diseases Of Other Endocrine Glands,Diabetes Mellitus
251,"Endocrine, Nutritional And Metabolic Diseases, And Immunity Disorders",Diseases Of Other Endocrine Glands,Other Disorders Of Pancreatic Internal Secretion
252,"Endocrine, Nutritional And Metabolic Diseases, And Immunity Disorders",Diseases Of Other Endocrine Glands,Disorders Of Parathyroid Gland
253,"Endocrine, Nutritional And Metabolic Diseases, And Immunity Disorders",Diseases Of Other Endocrine Glands,Disorders Of The Pituitary Gland And Its Hypothalamic Control
254,"Endocrine, Nutritional And Metabolic Diseases, And Immunity Disorders",Diseases Of Other Endocrine Glands,Diseases Of Thymus Gland
255,"Endocrine, Nutritional And Metabolic Diseases, And Immunity Disorders",Diseases Of Other Endocrine Glands,Disorders Of Adrenal Glands
256,"Endocrine, Nutritional And Metabolic Diseases, And Immunity Disorders",Diseases Of Other Endocrine Glands,Ovarian Dysfunction
257,"Endocrine, Nutritional And Metabolic Diseases, And Immunity Disorders",Diseases Of Other Endocrine Glands,Testicular Dysfunction
258,"Endocrine, Nutritional And Metabolic Diseases, And Immunity Disorders",Diseases Of Other Endocrine Glands,Polyglandular Dysfunction And Related Disorders
259,"Endocrine, Nutritional And Metabolic Diseases, And Immunity Disorders",Diseases Of Other Endocrine Glands,Other Endocrine Disorders
260,"Endocrine, Nutritional And Metabolic Diseases, And Immunity Disorders",Nutritional Deficiencies,Kwashiorkor
261,"Endocrine, Nutritional And Metabolic Diseases, And Immunity Disorders",Nutritional Deficiencies,Nutritional Marasmus
262,"Endocrine, Nutritional And Metabolic Diseases, And Immunity Disorders",Nutritional Deficiencies,Other Severe Protein-Calorie Malnutrition
263,"Endocrine, Nutritional And Metabolic Diseases, And Immunity Disorders",Nutritional Deficiencies,Other And Unspecified Protein-Calorie Malnutrition
264,"Endocrine, Nutritional And Metabolic Diseases, And Immunity Disorders",Nutritional Deficiencies,Vitamin A Deficiency
265,"Endocrine, Nutritional And Metabolic Diseases, And Immunity Disorders",Nutritional Deficiencies,Thiamine And Niacin Deficiency States
266,"Endocrine, Nutritional And Metabolic Diseases, And Immunity Disorders",Nutritional Deficiencies,Deficiency Of B-Complex Components
267,"Endocrine, Nutritional And Metabolic Diseases, And Immunity Disorders",Nutritional Deficiencies,Ascorbic Acid Deficiency
268,"Endocrine, Nutritional And Metabolic Diseases, And Immunity Disorders",Nutritional Deficiencies,Vitamin D Deficiency
269,"Endocrine, Nutritional And Metabolic Diseases, And Immunity Disorders",Nutritional Deficiencies,Other Nutritional Deficiencies
270,"Endocrine, Nutritional And Metabolic Diseases, And Immunity Disorders",Other Metabolic Disorders And Immunity Disorders,Disorders Of Amino-Acid Transport And Metabolism
271,"Endocrine, Nutritional And Metabolic Diseases, And Immunity Disorders",Other Metabolic Disorders And Immunity Disorders,Disorders Of Carbohydrate Transport And Metabolism
272,"Endocrine, Nutritional And Metabolic Diseases, And Immunity Disorders",Other Metabolic Disorders And Immunity Disorders,Disorders Of Lipoid Metabolism
273,"Endocrine, Nutritional And Metabolic Diseases, And Immunity Disorders",Other Metabolic Disorders And Immunity Disorders,Disorders Of Plasma Protein Metabolism
274,"Endocrine, Nutritional And Metabolic Diseases, And Immunity Disorders",Other Metabolic Disorders And Immunity Disorders,Gout
275,"Endocrine, Nutritional And Metabolic Diseases, And Immunity Disorders",Other Metabolic Disorders And Immunity Disorders,Disorders Of Mineral Metabolism
276,"Endocrine, Nutritional And Metabolic Diseases, And Immunity Disorders",Other Metabolic Disorders And Immunity Disorders,"Disorders Of Fluid, Electrolyte, And Acid-Base Balance"
277,"Endocrine, Nutritional And Metabolic Diseases, And Immunity Disorders",Other Metabolic Disorders And Immunity Disorders,Other And Unspecified Disorders Of Metabolism
278,"Endocrine, Nutritional And Metabolic Diseases, And Immunity Disorders",Other Metabolic Disorders And Immunity Disorders,Obesity And Other Hyperalimentation
279,"Endocrine, Nutritional And Metabolic Diseases, And Immunity Disorders",Other Metabolic Disorders And Immunity Disorders,Disorders Involving The Immune Mechanism
280,Diseases Of Blood And Blood-Forming Organs,Diseases Of The Blood And Blood-Forming Organs,Iron Deficiency Anemias
281,Diseases Of Blood And Blood-Forming Organs,Diseases Of The Blood And Blood-Forming Organs,Other Deficiency Anemias
282,Diseases Of Blood And Blood-Forming Organs,Diseases Of The Blood And Blood-Forming Organs,Hereditary Hemolytic Anemias
283,Diseases Of Blood And Blood-Forming Organs,Diseases Of The Blood And Blood-Forming Organs,Acquired Hemolytic Anemias
284,Diseases Of Blood And Blood-Forming Organs,Diseases Of The Blood And Blood-Forming Organs,Aplastic Anemia
285,Diseases Of Blood And Blood-Forming Organs,Diseases Of The Blood And Blood-Forming Organs,Other And Unspecified Anemias
286,Diseases Of Blood And Blood-Forming Organs,Diseases Of The Blood And Blood-Forming Organs,Coagulation Defects
287,Diseases Of Blood And Blood-Forming Organs,Diseases Of The Blood And Blood-Forming Organs,Purpura And Other Hemorrhagic Conditions
288,Diseases Of Blood And Blood-Forming Organs,Diseases Of The Blood And Blood-Forming Organs,Diseases Of White Blood Cells
289,Diseases Of Blood And Blood-Forming Organs,Diseases Of The Blood And Blood-Forming Organs,Other Diseases Of Blood And Blood-Forming Organs
