gender,age_category,map_disease_category,year_group,case,total_case,percentage_of_group
F,15-49 years,Sense organ diseases,2017 - 2019,43,12511,0.34369754615937975
F,15-49 years,Sense organ diseases,2020 - 2022,27,6859,0.39364338824901585
F,15-49 years,Skin and subcutaneous diseases,2008 - 2010,1076,46297,2.324124673304966
F,15-49 years,Skin and subcutaneous diseases,2011 - 2013,499,22458,2.2219253718051473
F,15-49 years,Skin and subcutaneous diseases,2014 - 2016,339,17165,1.9749490241771046
F,15-49 years,Skin and subcutaneous diseases,2017 - 2019,221,12511,1.7664455279354168
F,15-49 years,Skin and subcutaneous diseases,2020 - 2022,117,6859,1.7057880157457355
F,15-49 years,Substance use disorders,2008 - 2010,1051,46297,2.2701254940924898
F,15-49 years,Substance use disorders,2011 - 2013,705,22458,3.1391931605663905
F,15-49 years,Substance use disorders,2014 - 2016,582,17165,3.3906204485872413
F,15-49 years,Substance use disorders,2017 - 2019,404,12511,3.2291583406602187
F,15-49 years,Substance use disorders,2020 - 2022,201,6859,2.930456334742674
F,15-49 years,Transport injuries,2008 - 2010,255,46297,0.5507916279672549
F,15-49 years,Transport injuries,2011 - 2013,188,22458,0.8371181761510376
F,15-49 years,Transport injuries,2014 - 2016,90,17165,0.5243227497815321
F,15-49 years,Transport injuries,2017 - 2019,94,12511,0.7513388218367836
F,15-49 years,Transport injuries,2020 - 2022,63,6859,0.9185012392477038
F,15-49 years,Unintentional injuries,2008 - 2010,1468,46297,3.1708318033565894
F,15-49 years,Unintentional injuries,2011 - 2013,862,22458,3.8382758927776295
F,15-49 years,Unintentional injuries,2014 - 2016,630,17165,3.6702592484707255
F,15-49 years,Unintentional injuries,2017 - 2019,645,12511,5.155463192390696
F,15-49 years,Unintentional injuries,2020 - 2022,344,6859,5.015308353987462
F,50-69 years,Cardiovascular diseases,2008 - 2010,6267,41269,15.185732632242118
F,50-69 years,Cardiovascular diseases,2011 - 2013,3171,19969,15.879613400771195
F,50-69 years,Cardiovascular diseases,2014 - 2016,2787,15558,17.91361357500964
F,50-69 years,Cardiovascular diseases,2017 - 2019,2225,11511,19.32933715576405
F,50-69 years,Cardiovascular diseases,2020 - 2022,1254,6887,18.208218382459705
F,50-69 years,Chronic respiratory diseases,2008 - 2010,4351,41269,10.543022607768544
F,50-69 years,Chronic respiratory diseases,2011 - 2013,1611,19969,8.067504632179878
F,50-69 years,Chronic respiratory diseases,2014 - 2016,860,15558,5.52770278956164
F,50-69 years,Chronic respiratory diseases,2017 - 2019,390,11511,3.3880635913474064
F,50-69 years,Chronic respiratory diseases,2020 - 2022,210,6887,3.0492231740961233
F,50-69 years,Diabetes and kidney diseases,2008 - 2010,2690,41269,6.518209794276577
F,50-69 years,Diabetes and kidney diseases,2011 - 2013,983,19969,4.922630076618759
F,50-69 years,Diabetes and kidney diseases,2014 - 2016,579,15558,3.7215580408792905
F,50-69 years,Diabetes and kidney diseases,2017 - 2019,465,11511,4.039614281991139
F,50-69 years,Diabetes and kidney diseases,2020 - 2022,220,6887,3.19442427762451
F,50-69 years,Digestive diseases,2008 - 2010,6164,41269,14.936150621531901
F,50-69 years,Digestive diseases,2011 - 2013,3044,19969,15.243627622815364
F,50-69 years,Digestive diseases,2014 - 2016,2241,15558,14.404165059776322
F,50-69 years,Digestive diseases,2017 - 2019,1565,11511,13.59569107809921
F,50-69 years,Digestive diseases,2020 - 2022,994,6887,14.432989690721648
F,50-69 years,Enteric infections,2008 - 2010,557,41269,1.349681358889239
F,50-69 years,Enteric infections,2011 - 2013,187,19969,0.9364514998247283
F,50-69 years,Enteric infections,2014 - 2016,152,15558,0.9769893302481039
F,50-69 years,Enteric infections,2017 - 2019,105,11511,0.9121709669012249
F,50-69 years,Enteric infections,2020 - 2022,37,6887,0.5372440830550312
F,50-69 years,HIV/AIDS and sexually transmitted infections,2008 - 2010,71,41269,0.1720419685478204
F,50-69 years,HIV/AIDS and sexually transmitted infections,2011 - 2013,28,19969,0.14021733687215185
F,50-69 years,HIV/AIDS and sexually transmitted infections,2014 - 2016,26,15558,0.16711659596349146
F,50-69 years,HIV/AIDS and sexually transmitted infections,2017 - 2019,19,11511,0.1650595082964121
F,50-69 years,HIV/AIDS and sexually transmitted infections,2020 - 2022,25,6887,0.36300275882096705
F,50-69 years,Maternal and neonatal disorders,2008 - 2010,83,41269,0.20111948435871962
F,50-69 years,Maternal and neonatal disorders,2011 - 2013,48,19969,0.24037257749511742
F,50-69 years,Maternal and neonatal disorders,2014 - 2016,54,15558,0.34708831469340534
F,50-69 years,Maternal and neonatal disorders,2017 - 2019,27,11511,0.23455824863174357
F,50-69 years,Maternal and neonatal disorders,2020 - 2022,34,6887,0.4936837519965152
F,50-69 years,Mental disorders,2008 - 2010,1893,41269,4.586978119169352
F,50-69 years,Mental disorders,2011 - 2013,891,19969,4.461915969753117
F,50-69 years,Mental disorders,2014 - 2016,515,15558,3.310194112353773
F,50-69 years,Mental disorders,2017 - 2019,352,11511,3.0579445747545826
F,50-69 years,Mental disorders,2020 - 2022,205,6887,2.97662262233193
F,50-69 years,Musculoskeletal disorders,2008 - 2010,3349,41269,8.115050037558458
F,50-69 years,Musculoskeletal disorders,2011 - 2013,1526,19969,7.6418448595322745
F,50-69 years,Musculoskeletal disorders,2014 - 2016,1132,15558,7.27599948579509
F,50-69 years,Musculoskeletal disorders,2017 - 2019,740,11511,6.4286334810181565
F,50-69 years,Musculoskeletal disorders,2020 - 2022,383,6887,5.561202265137215
F,50-69 years,Neglected tropical diseases and malaria,2008 - 2010,23,41269,0.05573190530422351
F,50-69 years,Neglected tropical diseases and malaria,2011 - 2013,20,19969,0.1001552406229656
F,50-69 years,Neglected tropical diseases and malaria,2014 - 2016,19,15558,0.12212366628101298
F,50-69 years,Neglected tropical diseases and malaria,2017 - 2019,12,11511,0.10424811050299713
F,50-69 years,Neglected tropical diseases and malaria,2020 - 2022,8,6887,0.11616088282270945
F,50-69 years,Neoplasms,2008 - 2010,2961,41269,7.174877026339383
F,50-69 years,Neoplasms,2011 - 2013,2017,19969,10.10065601682608
F,50-69 years,Neoplasms,2014 - 2016,1811,15558,11.640313664995501
F,50-69 years,Neoplasms,2017 - 2019,1392,11511,12.092780818347668
F,50-69 years,Neoplasms,2020 - 2022,881,6887,12.79221722085088
F,50-69 years,Neurological disorders,2008 - 2010,1847,41269,4.475514308560905
F,50-69 years,Neurological disorders,2011 - 2013,873,19969,4.371776253192448
F,50-69 years,Neurological disorders,2014 - 2016,671,15558,4.3128936881347215
F,50-69 years,Neurological disorders,2017 - 2019,523,11511,4.543480149422292
F,50-69 years,Neurological disorders,2020 - 2022,292,6887,4.239872223028895
F,50-69 years,Nutritional deficiencies,2008 - 2010,163,41269,0.39496958976471447
F,50-69 years,Nutritional deficiencies,2011 - 2013,70,19969,0.3505433421803796
F,50-69 years,Nutritional deficiencies,2014 - 2016,91,15558,0.5849080858722201
F,50-69 years,Nutritional deficiencies,2017 - 2019,50,11511,0.43436712709582137
F,50-69 years,Nutritional deficiencies,2020 - 2022,34,6887,0.4936837519965152
F,50-69 years,Other infectious diseases,2008 - 2010,1404,41269,3.4020693498752093
F,50-69 years,Other infectious diseases,2011 - 2013,771,19969,3.8609845260153235
F,50-69 years,Other infectious diseases,2014 - 2016,660,15558,4.242190512919398
F,50-69 years,Other infectious diseases,2017 - 2019,446,11511,3.8745547736947263
F,50-69 years,Other infectious diseases,2020 - 2022,319,6887,4.63191520255554
F,50-69 years,Other non-communicable diseases,2008 - 2010,3268,41269,7.918776805834889
F,50-69 years,Other non-communicable diseases,2011 - 2013,1736,19969,8.693474886073414
F,50-69 years,Other non-communicable diseases,2014 - 2016,1249,15558,8.028024167630802
F,50-69 years,Other non-communicable diseases,2017 - 2019,859,11511,7.462427243506212
F,50-69 years,Other non-communicable diseases,2020 - 2022,452,6887,6.563089879483084
F,50-69 years,Respiratory infections and tuberculosis,2008 - 2010,1491,41269,3.6128813395042285
F,50-69 years,Respiratory infections and tuberculosis,2011 - 2013,645,19969,3.2300065100906403
F,50-69 years,Respiratory infections and tuberculosis,2014 - 2016,418,15558,2.6867206581822853
F,50-69 years,Respiratory infections and tuberculosis,2017 - 2019,256,11511,2.2239596907306054
F,50-69 years,Respiratory infections and tuberculosis,2020 - 2022,222,6887,3.2234644983301872
F,50-69 years,Self-harm and interpersonal violence,2008 - 2010,537,41269,1.30121883253774
F,50-69 years,Self-harm and interpersonal violence,2011 - 2013,345,19969,1.7276779007461565
F,50-69 years,Self-harm and interpersonal violence,2014 - 2016,539,15558,3.464455585550842
F,50-69 years,Self-harm and interpersonal violence,2017 - 2019,580,11511,5.038658674311528
F,50-69 years,Self-harm and interpersonal violence,2020 - 2022,326,6887,4.73355597502541
F,50-69 years,Sense organ diseases,2008 - 2010,239,41269,0.5791271899004095
F,50-69 years,Sense organ diseases,2011 - 2013,113,19969,0.5658771095197557
F,50-69 years,Sense organ diseases,2014 - 2016,92,15558,0.5913356472554313
F,50-69 years,Sense organ diseases,2017 - 2019,74,11511,0.6428633481018157
F,50-69 years,Sense organ diseases,2020 - 2022,32,6887,0.4646435312908378
F,50-69 years,Skin and subcutaneous diseases,2008 - 2010,1334,41269,3.2324505076449634
F,50-69 years,Skin and subcutaneous diseases,2011 - 2013,554,19969,2.774300165256147
F,50-69 years,Skin and subcutaneous diseases,2014 - 2016,383,15558,2.461756009769893
F,50-69 years,Skin and subcutaneous diseases,2017 - 2019,199,11511,1.7287811658413692
F,50-69 years,Skin and subcutaneous diseases,2020 - 2022,108,6887,1.5681719181065776
F,50-69 years,Substance use disorders,2008 - 2010,523,41269,1.2672950640916911
F,50-69 years,Substance use disorders,2011 - 2013,155,19969,0.7762031148279833
F,50-69 years,Substance use disorders,2014 - 2016,167,15558,1.073402750996272
F,50-69 years,Substance use disorders,2017 - 2019,98,11511,0.85135956910781
F,50-69 years,Substance use disorders,2020 - 2022,42,6887,0.6098446348192246
F,50-69 years,Transport injuries,2008 - 2010,115,41269,0.27865952652111753
F,50-69 years,Transport injuries,2011 - 2013,98,19969,0.49076067905253146
F,50-69 years,Transport injuries,2014 - 2016,66,15558,0.4242190512919399
F,50-69 years,Transport injuries,2017 - 2019,42,11511,0.36486838676048994
F,50-69 years,Transport injuries,2020 - 2022,50,6887,0.7260055176419341
F,50-69 years,Unintentional injuries,2008 - 2010,1939,41269,4.6984419297777995
F,50-69 years,Unintentional injuries,2011 - 2013,1083,19969,5.423406279733587
F,50-69 years,Unintentional injuries,2014 - 2016,1046,15558,6.723229206838925
F,50-69 years,Unintentional injuries,2017 - 2019,1092,11511,9.486578055772739
F,50-69 years,Unintentional injuries,2020 - 2022,759,6887,11.02076375780456
F,70+ years,Cardiovascular diseases,2008 - 2010,8557,34700,24.659942363112393
F,70+ years,Cardiovascular diseases,2011 - 2013,4398,16620,26.462093862815884
F,70+ years,Cardiovascular diseases,2014 - 2016,3848,13499,28.505815245573746
F,70+ years,Cardiovascular diseases,2017 - 2019,3033,11127,27.258021029927203
F,70+ years,Cardiovascular diseases,2020 - 2022,1860,6923,26.866965188502096
F,70+ years,Chronic respiratory diseases,2008 - 2010,2999,34700,8.642651296829971
F,70+ years,Chronic respiratory diseases,2011 - 2013,1044,16620,6.28158844765343
F,70+ years,Chronic respiratory diseases,2014 - 2016,664,13499,4.918882880213349
F,70+ years,Chronic respiratory diseases,2017 - 2019,401,11127,3.603846499505707
F,70+ years,Chronic respiratory diseases,2020 - 2022,215,6923,3.1055900621118013
F,70+ years,Diabetes and kidney diseases,2008 - 2010,2326,34700,6.703170028818444
F,70+ years,Diabetes and kidney diseases,2011 - 2013,910,16620,5.475330926594465
F,70+ years,Diabetes and kidney diseases,2014 - 2016,684,13499,5.067042003111342
F,70+ years,Diabetes and kidney diseases,2017 - 2019,660,11127,5.931517929361014
F,70+ years,Diabetes and kidney diseases,2020 - 2022,282,6923,4.0733785930954785
F,70+ years,Digestive diseases,2008 - 2010,4435,34700,12.780979827089336
F,70+ years,Digestive diseases,2011 - 2013,2186,16620,13.152827918170878
F,70+ years,Digestive diseases,2014 - 2016,1547,13499,11.460108156159714
F,70+ years,Digestive diseases,2017 - 2019,1216,11127,10.928372427428776
F,70+ years,Digestive diseases,2020 - 2022,689,6923,9.95233280369782
F,70+ years,Enteric infections,2008 - 2010,474,34700,1.3659942363112392
F,70+ years,Enteric infections,2011 - 2013,163,16620,0.9807460890493381
F,70+ years,Enteric infections,2014 - 2016,129,13499,0.9556263426920514
F,70+ years,Enteric infections,2017 - 2019,81,11127,0.7279590186033971
F,70+ years,Enteric infections,2020 - 2022,35,6923,0.5055611729019212
F,70+ years,HIV/AIDS and sexually transmitted infections,2008 - 2010,8,34700,0.023054755043227668
F,70+ years,HIV/AIDS and sexually transmitted infections,2011 - 2013,8,16620,0.04813477737665463
F,70+ years,HIV/AIDS and sexually transmitted infections,2014 - 2016,10,13499,0.07407956144899622
F,70+ years,HIV/AIDS and sexually transmitted infections,2017 - 2019,12,11127,0.10784578053383662
F,70+ years,HIV/AIDS and sexually transmitted infections,2020 - 2022,21,6923,0.3033367037411527
F,70+ years,Maternal and neonatal disorders,2008 - 2010,32,34700,0.09221902017291067
F,70+ years,Maternal and neonatal disorders,2011 - 2013,31,16620,0.1865222623345367
F,70+ years,Maternal and neonatal disorders,2014 - 2016,25,13499,0.18519890362249056
F,70+ years,Maternal and neonatal disorders,2017 - 2019,25,11127,0.22467870944549295
F,70+ years,Maternal and neonatal disorders,2020 - 2022,16,6923,0.23111367904087823
F,70+ years,Mental disorders,2008 - 2010,983,34700,2.8328530259365996
F,70+ years,Mental disorders,2011 - 2013,409,16620,2.460890493381468
F,70+ years,Mental disorders,2014 - 2016,205,13499,1.5186310097044224
F,70+ years,Mental disorders,2017 - 2019,123,11127,1.1054192504718252
F,70+ years,Mental disorders,2020 - 2022,60,6923,0.8666762964032934
F,70+ years,Musculoskeletal disorders,2008 - 2010,2289,34700,6.596541786743517
F,70+ years,Musculoskeletal disorders,2011 - 2013,1057,16620,6.359807460890493
F,70+ years,Musculoskeletal disorders,2014 - 2016,740,13499,5.48188754722572
F,70+ years,Musculoskeletal disorders,2017 - 2019,650,11127,5.841646445582817
F,70+ years,Musculoskeletal disorders,2020 - 2022,423,6923,6.110067889643219
F,70+ years,Neglected tropical diseases and malaria,2008 - 2010,10,34700,0.028818443804034585
F,70+ years,Neglected tropical diseases and malaria,2011 - 2013,8,16620,0.04813477737665463
F,70+ years,Neglected tropical diseases and malaria,2014 - 2016,20,13499,0.14815912289799243
F,70+ years,Neglected tropical diseases and malaria,2017 - 2019,6,11127,0.05392289026691831
F,70+ years,Neglected tropical diseases and malaria,2020 - 2022,7,6923,0.10111223458038424
F,70+ years,Neoplasms,2008 - 2010,1643,34700,4.734870317002882
F,70+ years,Neoplasms,2011 - 2013,1171,16620,7.045728038507821
F,70+ years,Neoplasms,2014 - 2016,1107,13499,8.200607452403883
F,70+ years,Neoplasms,2017 - 2019,957,11127,8.600700997573469
F,70+ years,Neoplasms,2020 - 2022,752,6923,10.862342914921278
F,70+ years,Neurological disorders,2008 - 2010,1461,34700,4.210374639769452
F,70+ years,Neurological disorders,2011 - 2013,809,16620,4.8676293622142
F,70+ years,Neurological disorders,2014 - 2016,727,13499,5.385584117342026
F,70+ years,Neurological disorders,2017 - 2019,619,11127,5.563044845870405
F,70+ years,Neurological disorders,2020 - 2022,338,6923,4.882276469738553
F,70+ years,Nutritional deficiencies,2008 - 2010,174,34700,0.5014409221902018
F,70+ years,Nutritional deficiencies,2011 - 2013,79,16620,0.47533092659446446
F,70+ years,Nutritional deficiencies,2014 - 2016,68,13499,0.5037410178531743
F,70+ years,Nutritional deficiencies,2017 - 2019,55,11127,0.49429316078008445
F,70+ years,Nutritional deficiencies,2020 - 2022,32,6923,0.46222735808175647
F,70+ years,Other infectious diseases,2008 - 2010,1254,34700,3.613832853025937
F,70+ years,Other infectious diseases,2011 - 2013,720,16620,4.332129963898916
F,70+ years,Other infectious diseases,2014 - 2016,712,13499,5.274464775168531
F,70+ years,Other infectious diseases,2017 - 2019,565,11127,5.077738833468141
F,70+ years,Other infectious diseases,2020 - 2022,388,6923,5.604506716741297
F,70+ years,Other non-communicable diseases,2008 - 2010,3329,34700,9.593659942363113
F,70+ years,Other non-communicable diseases,2011 - 2013,1444,16620,8.688327316486161
F,70+ years,Other non-communicable diseases,2014 - 2016,1080,13499,8.000592636491593
F,70+ years,Other non-communicable diseases,2017 - 2019,838,11127,7.5312303406129235
F,70+ years,Other non-communicable diseases,2020 - 2022,409,6923,5.9078434204824495
F,70+ years,Respiratory infections and tuberculosis,2008 - 2010,1597,34700,4.602305475504323
F,70+ years,Respiratory infections and tuberculosis,2011 - 2013,592,16620,3.561973525872443
F,70+ years,Respiratory infections and tuberculosis,2014 - 2016,441,13499,3.2669086599007335
F,70+ years,Respiratory infections and tuberculosis,2017 - 2019,306,11127,2.7500674036128334
F,70+ years,Respiratory infections and tuberculosis,2020 - 2022,233,6923,3.3655929510327893
F,70+ years,Self-harm and interpersonal violence,2008 - 2010,172,34700,0.49567723342939485
F,70+ years,Self-harm and interpersonal violence,2011 - 2013,136,16620,0.8182912154031288
F,70+ years,Self-harm and interpersonal violence,2014 - 2016,350,13499,2.5927846507148677
F,70+ years,Self-harm and interpersonal violence,2017 - 2019,482,11127,4.331805518109104
F,70+ years,Self-harm and interpersonal violence,2020 - 2022,281,6923,4.058933988155424
F,70+ years,Sense organ diseases,2008 - 2010,228,34700,0.6570605187319885
F,70+ years,Sense organ diseases,2011 - 2013,101,16620,0.6077015643802647
F,70+ years,Sense organ diseases,2014 - 2016,71,13499,0.5259648862878732
F,70+ years,Sense organ diseases,2017 - 2019,38,11127,0.34151163835714926
F,70+ years,Sense organ diseases,2020 - 2022,30,6923,0.4333381482016467
F,70+ years,Skin and subcutaneous diseases,2008 - 2010,817,34700,2.3544668587896256
F,70+ years,Skin and subcutaneous diseases,2011 - 2013,325,16620,1.9554753309265944
F,70+ years,Skin and subcutaneous diseases,2014 - 2016,210,13499,1.5556707904289206
F,70+ years,Skin and subcutaneous diseases,2017 - 2019,146,11127,1.3121236631616788
F,70+ years,Skin and subcutaneous diseases,2020 - 2022,88,6923,1.2711252347248303
F,70+ years,Substance use disorders,2008 - 2010,86,34700,0.24783861671469742
F,70+ years,Substance use disorders,2011 - 2013,39,16620,0.23465703971119134
F,70+ years,Substance use disorders,2014 - 2016,27,13499,0.20001481591228978
F,70+ years,Substance use disorders,2017 - 2019,19,11127,0.17075581917857463
F,70+ years,Substance use disorders,2020 - 2022,10,6923,0.1444460494005489
F,70+ years,Transport injuries,2008 - 2010,59,34700,0.17002881844380402
F,70+ years,Transport injuries,2011 - 2013,38,16620,0.2286401925391095
F,70+ years,Transport injuries,2014 - 2016,26,13499,0.1926068597673902
F,70+ years,Transport injuries,2017 - 2019,29,11127,0.26062730295677183
F,70+ years,Transport injuries,2020 - 2022,19,6923,0.27444749386104295
F,70+ years,Unintentional injuries,2008 - 2010,1767,34700,5.0922190201729105
F,70+ years,Unintentional injuries,2011 - 2013,952,16620,5.728038507821901
F,70+ years,Unintentional injuries,2014 - 2016,808,13499,5.985628565078895
F,70+ years,Unintentional injuries,2017 - 2019,866,11127,7.782870495191875
F,70+ years,Unintentional injuries,2020 - 2022,735,6923,10.616784630940344
M,15-49 years,Cardiovascular diseases,2008 - 2010,2670,32312,8.263183956424857
M,15-49 years,Cardiovascular diseases,2011 - 2013,1335,16979,7.862653866541021
M,15-49 years,Cardiovascular diseases,2014 - 2016,1331,12961,10.269269346501043
M,15-49 years,Cardiovascular diseases,2017 - 2019,954,9726,9.808760024676126
M,15-49 years,Cardiovascular diseases,2020 - 2022,586,5999,9.768294715785965
M,15-49 years,Chronic respiratory diseases,2008 - 2010,2432,32312,7.526615498885862
M,15-49 years,Chronic respiratory diseases,2011 - 2013,936,16979,5.51269214912539
M,15-49 years,Chronic respiratory diseases,2014 - 2016,428,12961,3.302214335313633
M,15-49 years,Chronic respiratory diseases,2017 - 2019,234,9726,2.405922270203578
M,15-49 years,Chronic respiratory diseases,2020 - 2022,150,5999,2.5004167361226872
M,15-49 years,Diabetes and kidney diseases,2008 - 2010,1943,32312,6.013245852933895
M,15-49 years,Diabetes and kidney diseases,2011 - 2013,736,16979,4.334766476235349
M,15-49 years,Diabetes and kidney diseases,2014 - 2016,570,12961,4.39780881104853
M,15-49 years,Diabetes and kidney diseases,2017 - 2019,352,9726,3.6191651244088012
M,15-49 years,Diabetes and kidney diseases,2020 - 2022,167,5999,2.783797299549925
