,category,block_code,block_title
73,Diseases of the nervous system,G60-G64,Polyneuropathies and other disorders of the peripheral nervous system
74,Diseases of the nervous system,G70-G73,Diseases of myoneural junction and muscle
75,Diseases of the nervous system,G80-G83,Cerebral palsy and other paralytic syndromes
76,Diseases of the nervous system,G90-G99,Other disorders of the nervous system
77,Diseases of the eye and adnexa,H00-H06,"Disorders of eyelid, lacrimal system and orbit"
78,Diseases of the eye and adnexa,H10-H13,Disorders of conjunctiva
79,Diseases of the eye and adnexa,H15-H22,"Disorders of sclera, cornea, iris and ciliary body"
80,Diseases of the eye and adnexa,H25-H28,Disorders of lens
81,Diseases of the eye and adnexa,H30-H36,Disorders of choroid and retina
82,Diseases of the eye and adnexa,H40-H42,Glaucoma
83,Diseases of the eye and adnexa,H43-H45,Disorders of vitreous body and globe
84,Diseases of the eye and adnexa,H46-H48,Disorders of optic nerve and visual pathways
85,Diseases of the eye and adnexa,H49-H52,"Disorders of ocular muscles, binocular movement, accommodation and refraction"
86,Diseases of the eye and adnexa,H53-H54,Visual disturbances and blindness
87,Diseases of the eye and adnexa,H55-H59,Other disorders of eye and adnexa
88,Diseases of the ear and mastoid process,H60-H62,Diseases of external ear
89,Diseases of the ear and mastoid process,H65-H75,Diseases of middle ear and mastoid
90,Diseases of the ear and mastoid process,H80-H83,Diseases of inner ear
91,Diseases of the ear and mastoid process,H90-H95,Other disorders of ear
92,Diseases of the circulatory system,I00-I02,Acute rheumatic fever
93,Diseases of the circulatory system,I05-I09,Chronic rheumatic heart diseases
94,Diseases of the circulatory system,I10-I15,Hypertensive diseases
95,Diseases of the circulatory system,I20-I25,Ischaemic heart diseases
96,Diseases of the circulatory system,I26-I28,Pulmonary heart disease and diseases of pulmonary circulation
97,Diseases of the circulatory system,I30-I52,Other forms of heart disease
98,Diseases of the circulatory system,I60-I69,Cerebrovascular diseases
99,Diseases of the circulatory system,I70-I79,"Diseases of arteries, arterioles and capillaries"
100,Diseases of the circulatory system,I80-I89,"Diseases of veins, lymphatic vessels and lymph nodes, not elsewhere classified"
101,Diseases of the circulatory system,I95-I99,Other and unspecified disorders of the circulatory system
102,Diseases of the respiratory system,J00-J06,Acute upper respiratory infections
103,Diseases of the respiratory system,J09-J18,Influenza and pneumonia
104,Diseases of the respiratory system,J20-J22,Other acute lower respiratory infections
105,Diseases of the respiratory system,J30-J39,Other diseases of upper respiratory tract
106,Diseases of the respiratory system,J40-J47,Chronic lower respiratory diseases
107,Diseases of the respiratory system,J60-J70,Lung diseases due to external agents
108,Diseases of the respiratory system,J80-J84,Other respiratory diseases principally affecting the interstitium
109,Diseases of the respiratory system,J85-J86,Suppurative and necrotic conditions of lower respiratory tract
110,Diseases of the respiratory system,J90-J94,Other diseases of pleura
111,Diseases of the respiratory system,J95-J99,Other diseases of the respiratory system
112,Diseases of the digestive system,K00-K14,"Diseases of oral cavity, salivary glands and jaws"
113,Diseases of the digestive system,K20-K31,"Diseases of oesophagus, stomach and duodenum"
114,Diseases of the digestive system,K35-K38,Diseases of appendix
115,Diseases of the digestive system,K40-K46,Hernia
116,Diseases of the digestive system,K50-K52,Noninfective enteritis and colitis
117,Diseases of the digestive system,K55-K63,Other diseases of intestines
118,Diseases of the digestive system,K65-K67,Diseases of peritoneum
119,Diseases of the digestive system,K70-K77,Diseases of liver
120,Diseases of the digestive system,K80-K87,"Disorders of gallbladder, biliary tract and pancreas"
121,Diseases of the digestive system,K90-K93,Other diseases of the digestive system
122,Diseases of the skin and subcutaneous tissue,L00-L08,Infections of the skin and subcutaneous tissue
123,Diseases of the skin and subcutaneous tissue,L10-L14,Bullous disorders
124,Diseases of the skin and subcutaneous tissue,L20-L30,Dermatitis and eczema
125,Diseases of the skin and subcutaneous tissue,L40-L45,Papulosquamous disorders
126,Diseases of the skin and subcutaneous tissue,L50-L54,Urticaria and erythema
127,Diseases of the skin and subcutaneous tissue,L55-L59,Radiation-related disorders of the skin and subcutaneous tissue
128,Diseases of the skin and subcutaneous tissue,L60-L75,Disorders of skin appendages
129,Diseases of the skin and subcutaneous tissue,L80-L99,Other disorders of the skin and subcutaneous tissue
130,Diseases of the musculoskeletal system and connective tissue,M00-M25,Arthropathies
131,Diseases of the musculoskeletal system and connective tissue,M00-M03,Infectious arthropathies
132,Diseases of the musculoskeletal system and connective tissue,M05-M14,Inflammatory polyarthropathies
133,Diseases of the musculoskeletal system and connective tissue,M15-M19,Arthrosis
134,Diseases of the musculoskeletal system and connective tissue,M20-M25,Other joint disorders
135,Diseases of the musculoskeletal system and connective tissue,M30-M36,Systemic connective tissue disorders
136,Diseases of the musculoskeletal system and connective tissue,M40-M54,Dorsopathies
137,Diseases of the musculoskeletal system and connective tissue,M40-M43,Deforming dorsopathies
138,Diseases of the musculoskeletal system and connective tissue,M45-M49,Spondylopathies
139,Diseases of the musculoskeletal system and connective tissue,M50-M54,Other dorsopathies
140,Diseases of the musculoskeletal system and connective tissue,M60-M79,Soft tissue disorders
141,Diseases of the musculoskeletal system and connective tissue,M60-M63,Disorders of muscles
142,Diseases of the musculoskeletal system and connective tissue,M65-M68,Disorders of synovium and tendon
143,Diseases of the musculoskeletal system and connective tissue,M70-M79,Other soft tissue disorders
144,Diseases of the musculoskeletal system and connective tissue,M80-M94,Osteopathies and chondropathies
145,Diseases of the musculoskeletal system and connective tissue,M80-M85,Disorders of bone density and structure
146,Diseases of the musculoskeletal system and connective tissue,M86-M90,Other osteopathies
147,Diseases of the musculoskeletal system and connective tissue,M91-M94,Chondropathies
148,Diseases of the musculoskeletal system and connective tissue,M95-M99,Other disorders of the musculoskeletal system and connective tissue
149,Diseases of the genitourinary system,N00-N08,Glomerular diseases
150,Diseases of the genitourinary system,N10-N16,Renal tubulo-interstitial diseases
151,Diseases of the genitourinary system,N17-N19,Renal failure
152,Diseases of the genitourinary system,N20-N23,Urolithiasis
153,Diseases of the genitourinary system,N25-N29,Other disorders of kidney and ureter
154,Diseases of the genitourinary system,N30-N39,Other diseases of urinary system
155,Diseases of the genitourinary system,N40-N51,Diseases of male genital organs
156,Diseases of the genitourinary system,N60-N64,Disorders of breast
157,Diseases of the genitourinary system,N70-N77,Inflammatory diseases of female pelvic organs
158,Diseases of the genitourinary system,N80-N98,Noninflammatory disorders of female genital tract
159,Diseases of the genitourinary system,N99-N99,Other disorders of the genitourinary system
160,"Pregnancy, childbirth and the puerperium",O00-O08,Pregnancy with abortive outcome
161,"Pregnancy, childbirth and the puerperium",O10-O16,"Oedema, proteinuria and hypertensive disorders in pregnancy, childbirth and the puerperium"
162,"Pregnancy, childbirth and the puerperium",O20-O29,Other maternal disorders predominantly related to pregnancy
163,"Pregnancy, childbirth and the puerperium",O30-O48,Maternal care related to the fetus and amniotic cavity and possible delivery problems
164,"Pregnancy, childbirth and the puerperium",O60-O75,Complications of labour and delivery
165,"Pregnancy, childbirth and the puerperium",O80-O84,Delivery
166,"Pregnancy, childbirth and the puerperium",O85-O92,Complications predominantly related to the puerperium
167,"Pregnancy, childbirth and the puerperium",O94-O99,"Other obstetric conditions, not elsewhere classified"
168,Certain conditions originating in the perinatal period,P00-P04,"Fetus and newborn affected by maternal factors and by complications of pregnancy, labour and delivery"
169,Certain conditions originating in the perinatal period,P05-P08,Disorders related to length of gestation and fetal growth
170,Certain conditions originating in the perinatal period,P10-P15,Birth trauma
171,Certain conditions originating in the perinatal period,P20-P29,Respiratory and cardiovascular disorders specific to the perinatal period
172,Certain conditions originating in the perinatal period,P35-P39,Infections specific to the perinatal period
173,Certain conditions originating in the perinatal period,P50-P61,Haemorrhagic and haematological disorders of fetus and newborn
174,Certain conditions originating in the perinatal period,P70-P74,Transitory endocrine and metabolic disorders specific to fetus and newborn
175,Certain conditions originating in the perinatal period,P75-P78,Digestive system disorders of fetus and newborn
176,Certain conditions originating in the perinatal period,P80-P83,Conditions involving the integument and temperature regulation of fetus and newborn
177,Certain conditions originating in the perinatal period,P90-P96,Other disorders originating in the perinatal period
178,"Congenital malformations, deformations and chromosomal abnormalities",Q00-Q07,Congenital malformations of the nervous system
179,"Congenital malformations, deformations and chromosomal abnormalities",Q10-Q18,"Congenital malformations of eye, ear, face and neck"
180,"Congenital malformations, deformations and chromosomal abnormalities",Q20-Q28,Congenital malformations of the circulatory system
181,"Congenital malformations, deformations and chromosomal abnormalities",Q30-Q34,Congenital malformations of the respiratory system
182,"Congenital malformations, deformations and chromosomal abnormalities",Q35-Q37,Cleft lip and cleft palate
183,"Congenital malformations, deformations and chromosomal abnormalities",Q38-Q45,Other congenital malformations of the digestive system
184,"Congenital malformations, deformations and chromosomal abnormalities",Q50-Q56,Congenital malformations of genital organs
185,"Congenital malformations, deformations and chromosomal abnormalities",Q60-Q64,Congenital malformations of the urinary system
186,"Congenital malformations, deformations and chromosomal abnormalities",Q65-Q79,Congenital malformations and deformations of the musculoskeletal system
187,"Congenital malformations, deformations and chromosomal abnormalities",Q80-Q89,Other congenital malformations
188,"Congenital malformations, deformations and chromosomal abnormalities",Q90-Q99,"Chromosomal abnormalities, not elsewhere classified"
189,"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified",R00-R09,Symptoms and signs involving the circulatory and respiratory systems
190,"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified",R10-R19,Symptoms and signs involving the digestive system and abdomen
191,"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified",R20-R23,Symptoms and signs involving the skin and subcutaneous tissue
192,"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified",R25-R29,Symptoms and signs involving the nervous and musculoskeletal systems
193,"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified",R30-R39,Symptoms and signs involving the urinary system
194,"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified",R40-R46,"Symptoms and signs involving cognition, perception, emotional state and behaviour"
195,"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified",R47-R49,Symptoms and signs involving speech and voice
196,"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified",R50-R69,General symptoms and signs
197,"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified",R70-R79,"Abnormal findings on examination of blood, without diagnosis"
198,"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified",R80-R82,"Abnormal findings on examination of urine, without diagnosis"
199,"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified",R83-R89,"Abnormal findings on examination of other body fluids, substances and tissues, without diagnosis"
200,"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified",R90-R94,"Abnormal findings on diagnostic imaging and in function studies, without diagnosis"
201,"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified",R95-R99,Ill-defined and unknown causes of mortality
202,"Injury, poisoning and certain other consequences of external causes",S00-S09,Injuries to the head
203,"Injury, poisoning and certain other consequences of external causes",S10-S19,Injuries to the neck
204,"Injury, poisoning and certain other consequences of external causes",S20-S29,Injuries to the thorax
205,"Injury, poisoning and certain other consequences of external causes",S30-S39,"Injuries to the abdomen, lower back, lumbar spine and pelvis"
206,"Injury, poisoning and certain other consequences of external causes",S40-S49,Injuries to the shoulder and upper arm
207,"Injury, poisoning and certain other consequences of external causes",S50-S59,Injuries to the elbow and forearm
208,"Injury, poisoning and certain other consequences of external causes",S60-S69,Injuries to the wrist and hand
209,"Injury, poisoning and certain other consequences of external causes",S70-S79,Injuries to the hip and thigh
210,"Injury, poisoning and certain other consequences of external causes",S80-S89,Injuries to the knee and lower leg
211,"Injury, poisoning and certain other consequences of external causes",S90-S99,Injuries to the ankle and foot
212,"Injury, poisoning and certain other consequences of external causes",T00-T07,Injuries involving multiple body regions
213,"Injury, poisoning and certain other consequences of external causes",T08-T14,"Injuries to unspecified part of trunk, limb or body region"
214,"Injury, poisoning and certain other consequences of external causes",T15-T19,Effects of foreign body entering through natural orifice
215,"Injury, poisoning and certain other consequences of external causes",T20-T32,Burns and corrosions
216,"Injury, poisoning and certain other consequences of external causes",T20-T25,"Burns and corrosions of external body surface, specified by site"
217,"Injury, poisoning and certain other consequences of external causes",T26-T28,Burns and corrosions confined to eye and internal organs
218,"Injury, poisoning and certain other consequences of external causes",T29-T32,Burns and corrosions of multiple and unspecified body regions
219,"Injury, poisoning and certain other consequences of external causes",T33-T35,Frostbite
220,"Injury, poisoning and certain other consequences of external causes",T36-T50,"Poisoning by drugs, medicaments and biological substances"
221,"Injury, poisoning and certain other consequences of external causes",T51-T65,Toxic effects of substances chiefly nonmedicinal as to source
222,"Injury, poisoning and certain other consequences of external causes",T66-T78,Other and unspecified effects of external causes
223,"Injury, poisoning and certain other consequences of external causes",T79-T79,Certain early complications of trauma
224,"Injury, poisoning and certain other consequences of external causes",T80-T88,"Complications of surgical and medical care, not elsewhere classified"
225,"Injury, poisoning and certain other consequences of external causes",T90-T98,"Sequelae of injuries, of poisoning and of other consequences of external causes"
226,External causes of morbidity and mortality,V01-X59,Accidents
227,External causes of morbidity and mortality,V01-V99,Transport accidents
228,External causes of morbidity and mortality,V01-V09,Pedestrian injured in transport accident
229,External causes of morbidity and mortality,V10-V19,Pedal cyclist injured in transport accident
230,External causes of morbidity and mortality,V20-V29,Motorcycle rider injured in transport accident
231,External causes of morbidity and mortality,V30-V39,Occupant of three-wheeled motor vehicle injured in transport accident
232,External causes of morbidity and mortality,V40-V49,Car occupant injured in transport accident
233,External causes of morbidity and mortality,V50-V59,Occupant of pick-up truck or van injured in transport accident
234,External causes of morbidity and mortality,V60-V69,Occupant of heavy transport vehicle injured in transport accident
235,External causes of morbidity and mortality,V70-V79,Bus occupant injured in transport accident
236,External causes of morbidity and mortality,V80-V89,Other land transport accidents
237,External causes of morbidity and mortality,V90-V94,Water transport accidents
238,External causes of morbidity and mortality,V95-V97,Air and space transport accidents
239,External causes of morbidity and mortality,V98-V99,Other and unspecified transport accidents
240,External causes of morbidity and mortality,W00-X59,Other external causes of accidental injury
241,External causes of morbidity and mortality,W00-W19,Falls
242,External causes of morbidity and mortality,W20-W49,Exposure to inanimate mechanical forces
243,External causes of morbidity and mortality,W50-W64,Exposure to animate mechanical forces
244,External causes of morbidity and mortality,W65-W74,Accidental drowning and submersion
245,External causes of morbidity and mortality,W75-W84,Other accidental threats to breathing
246,External causes of morbidity and mortality,W85-W99,"Exposure to electric current, radiation and extreme ambient air temperature and pressure"
247,External causes of morbidity and mortality,X00-X09,"Exposure to smoke, fire and flames"
248,External causes of morbidity and mortality,X10-X19,Contact with heat and hot substances
249,External causes of morbidity and mortality,X20-X29,Contact with venomous animals and plants
250,External causes of morbidity and mortality,X30-X39,Exposure to forces of nature
251,External causes of morbidity and mortality,X40-X49,Accidental poisoning by and exposure to noxious substances
252,External causes of morbidity and mortality,X50-X57,"Overexertion, travel and privation"
253,External causes of morbidity and mortality,X58-X59,Accidental exposure to other and unspecified factors
254,External causes of morbidity and mortality,X60-X84,Intentional self-harm
255,External causes of morbidity and mortality,X85-Y09,Assault
256,External causes of morbidity and mortality,Y10-Y34,Event of undetermined intent
257,External causes of morbidity and mortality,Y35-Y36,Legal intervention and operations of war
258,External causes of morbidity and mortality,Y40-Y84,Complications of medical and surgical care
259,External causes of morbidity and mortality,Y40-Y59,"Drugs, medicaments and biological substances causing adverse effects in therapeutic use"
260,External causes of morbidity and mortality,Y60-Y69,Misadventures to patients during surgical and medical care
261,External causes of morbidity and mortality,Y70-Y82,Medical devices associated with adverse incidents in diagnostic and therapeutic use
262,External causes of morbidity and mortality,Y83-Y84,"Surgical and other medical procedures as the cause of abnormal reaction of the patient, or of later complication, without mention of misadventure at the time of the procedure"
263,External causes of morbidity and mortality,Y85-Y89,Sequelae of external causes of morbidity and mortality
264,External causes of morbidity and mortality,Y90-Y98,Supplementary factors related to causes of morbidity and mortality classified elsewhere
265,Factors influencing health status and contact with health services,Z00-Z13,Persons encountering health services for examination and investigation
266,Factors influencing health status and contact with health services,Z20-Z29,Persons with potential health hazards related to communicable diseases
267,Factors influencing health status and contact with health services,Z30-Z39,Persons encountering health services in circumstances related to reproduction
268,Factors influencing health status and contact with health services,Z40-Z54,Persons encountering health services for specific procedures and health care
269,Factors influencing health status and contact with health services,Z55-Z65,Persons with potential health hazards related to socioeconomic and psychosocial circumstances
270,Factors influencing health status and contact with health services,Z70-Z76,Persons encountering health services in other circumstances
271,Factors influencing health status and contact with health services,Z80-Z99,Persons with potential health hazards related to family and personal history and certain conditions influencing health status
272,Codes for special purposes,U00-U49,Provisional assignment of new diseases of uncertain etiology
273,Codes for special purposes,U80-U89,Bacterial agents resistant to antibiotics
